"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\jermu\Documents\3DS\BartBash\source\bart.cpp", "C++", 13, 0, 4, 17
"c:\Users\jermu\Documents\3DS\BartBash\source\bart.h", "C++", 1, 0, 0, 1
"c:\Users\jermu\Documents\3DS\BartBash\source\collision_listener.cpp", "C++", 5, 0, 1, 6
"c:\Users\jermu\Documents\3DS\BartBash\source\main.cpp", "C++", 20, 0, 0, 20
"c:\Users\jermu\Documents\3DS\BartBash\source\physics_manager.cpp", "C++", 0, 0, 2, 2
"Total", "-", 39, 0, 7, 46
